title,author,averagerating,totalratings,numberofpages,genre,bookformat,language
"
Funny Jokes (FREE Joke Book Download Included!): 125+ Hilarious Jokes (Funny and Hilarious Joke Book for Children)
",Johnny B. Laughing,3.47,"2,871",39,Humor,Kindle Edition,English
"
Lionheart (Plantagenets #4; Richard the Lionheart #1)
",Sharon Kay Penman,4.11,"6,321",594,Historical,Hardcover,English
"
Fervent: A Woman's Battle Plan to Serious, Specific and Strategic Prayer
",Priscilla Shirer,4.37,"14,518",190,Christian,Paperback,English
"
Orion Tips the Saucepan
",Ashley Capes,4.5,2,24,Christian,Paperback,English
"
Seconds Away (Mickey Bolitar, #2)
",Harlan Coben,4.03,"12,527",338,Mystery,Hardcover,English
"
Karl Marx: A Nineteenth-Century Life
",Jonathan Sperber,3.91,640,648,Biography,Hardcover,English
"
Fish & Chips (Cut & Run, #3)
",Abigail Roux,4.47,"12,779",280,Romance,Paperback,English
"
Out of the Ice
",Ann   Turner,3.58,712,360,Mystery,Paperback,English
"
The Black Box (Harry Bosch, #16; Harry Bosch Universe, #24)
",Michael Connelly,4.13,"52,737",403,Mystery,Hardcover,English
"
The Day the Crayons Came Home
",Drew Daywalt,4.34,"15,429",48,Childrens,Hardcover,English
"
The Silent Waters (Elements, #3)
",Brittainy C. Cherry,4.34,"24,102",316,Romance,Kindle Edition,English
"
The Candymakers (The Candymakers, #1)
",Wendy Mass,4.31,"24,303",453,Childrens,Hardcover,English
"
Dark Hunger (Dark, #11.5)
",Christine Feehan,4.24,"4,111",208,Fantasy,Kindle Edition,English
"
1st Semester (White Knight Dom Academy, #2)
",Lucian Bane,4.46,242,117,Erotica,Kindle Edition,English
"
Poseidon's Arrow (Dirk Pitt, #22)
",Clive Cussler,3.99,"8,626",14,Fiction,Audio CD,English
"
Kalila
",Rosemary Nixon,3.93,27,252,Cultural,Paperback,English
"
Gods & Monsters (Shadows Inquiries #3)
",Lyn Benedict,3.85,251,311,Fantasy,Paperback,English
"
Pines (Wayward Pines, #1)
",Blake Crouch,3.93,"102,344",309,Thriller,Kindle Edition,English
"
Το ρολόι του κόσμου (Το τραγούδι του χρόνου #2 )
",Γιώργος Χατζηκυριάκος,4.69,26,327,Fantasy,Kindle Edition,"Greek, Modern (1453-)"
"
An Author's Odyssey (The Land of Stories, #5)
",Chris Colfer,4.47,"26,646",448,Fantasy,Hardcover,English
"
The Year of Reading Dangerously: How Fifty Great Books Saved My Life
",Andy Miller,3.32,"5,295",322,Nonfiction,Hardcover,English
"
Beneath the Surface: Killer Whales, SeaWorld, and the Truth Beyond Blackfish
",John Hargrove,4.04,"7,006",264,Nonfiction,Hardcover,English
"
The ABC's of LGBT+
",Ashley Mardell,4.31,"1,520",190,Nonfiction,Paperback,English
"
Side Effects
",rory macbeth,5,2,14,Nonfiction,Kindle Edition,English
"
Lucy
",Laurence Gonzales,3.49,"2,350",432,Fiction,Kindle Edition,German
"
Here
",Richard McGuire,4.2,"10,075",304,Sequential Art,Hardcover,English
"
The Widow's House (The Dagger and the Coin, #4)
",Daniel Abraham,4.08,"7,459",432,Fiction,Kindle Edition,German
"
Common Knowledge?: An Ethnography of Wikipedia
",Dariusz Jemielniak,3.95,21,312,Nonfiction,Hardcover,German
"
Невже то я?
",Yevhen Sverstiuk,0,0,464,Nonfiction,Hardcover,Ukrainian
"
The Queen of the Night
",Alexander Chee,3.44,"10,816",561,Fiction,Hardcover,English
"
The Versions of Us
",Laura  Barnett,3.55,"18,980",417,Fiction,Kindle Edition,English
"
Night of Cake & Puppets (Daughter of Smoke & Bone, #2.5)
",Laini Taylor,4.3,"19,015",256,Fantasy,Hardcover,English
"
Freed-Hardeman University: Alumni Today 2010
",Harris Connect,5,1,554,Fantasy,Hardcover,English
"
The Devil All the Time
",Donald Ray Pollock,4.12,"26,581",261,Fiction,Hardcover,English
"
Agatha H and the Clockwork Princess (Girl Genius Novels, #2)
",Phil Foglio,4.24,"1,594",461,Science Fiction,Hardcover,English
"
The Song Rising (The Bone Season, #3)
",Samantha Shannon,4.18,"12,518",384,Fantasy,Kindle Edition,English
"
Allt jag önskar mig
",Grégoire Delacourt,3.58,"11,054",189,Fiction,Danskt band,Swedish
"
The Cut
",George Pelecanos,3.7,"4,396",292,Fiction,Hardcover,English
"
Heresy (Giordano Bruno, #1)
",S.J. Parris,3.77,"10,599",435,Historical,Hardcover,English
"
Prayers for the Stolen
",Jennifer Clement,3.96,"7,393",212,Fiction,Hardcover,English
"
Red: A Natural History of the Redhead
",Jacky Colliss Harvey,3.5,"1,099",240,Nonfiction,Kindle Edition,English
"
Doctor Who: Borrowed Time
",Naomi Alderman,3.98,"1,290",256,Media Tie In,Hardcover,English
"
Black Movie
",Danez Smith,4.5,"1,044",40,Poetry,Paperback,English
"
The Last Tudor (The Plantagenet and Tudor Novels, #14)
",Philippa Gregory,3.81,"19,822",528,Historical,Hardcover,English
"
The Novice's Tale (Oxford Medieval Mysteries, #2)
",Ann Swinfen,4.33,"1,503",264,Historical,Kindle Edition,English
"
Бедността. Пътеводител за деца
",Hanna Gill-Piątek,4.35,26,40,Historical,Paperback,Bulgarian
"
Be Careful What You Wish For (The Clifton Chronicles, #4)
",Jeffrey Archer,4.1,"33,616",387,Fiction,Hardcover,English
"
A Million Suns (Across the Universe, #2)
",Beth Revis,4.02,"53,987",386,Young Adult,Hardcover,English
"
The Municipalists
",Seth Fried,3.6,"2,405",272,Science Fiction,Paperback,English
"
The Lazarus Poems
",Edward Kamau Brathwaite,4.5,4,136,Poetry,Hardcover,English
"
The Tenant
",Katrine Engberg,3.56,"9,444",356,Mystery,Paperback,English
"
The Best of All Possible Worlds
",Karen Lord,3.59,"4,449",308,Science Fiction,Hardcover,English
"
The Angel of History
",Rabih Alameddine,3.84,"1,146",294,Fiction,Hardcover,English
"
The League of Extraordinary Gentlemen, Vol. 4: The Tempest (The League of Extraordinary Gentlemen #4)
",Alan Moore,3.76,532,256,Sequential Art,Hardcover,English
"
Mr. Vega
",Xyla Turner,4.23,941,270,Romance,Kindle Edition,English
"
The Divide: A Brief Guide to Global Inequality and its Solutions
",Jason Hickel,4.65,"1,475",368,Economics,Hardcover,English
"
How to be a Tudor
",Ruth Goodman,4.03,"3,000",320,History,Paperback,English
"
Laughing All the Way to the Bank (Robbery): My Education at Con College
",Michael  Rickard,4.65,48,274,Crime,Paperback,English
"
Winter Tide (The Innsmouth Legacy, #1)
",Ruthanna Emrys,3.75,"2,864",366,Fantasy,Hardcover,English
"
Miracles & Merits of Allah's Messenger - Al Bidayah VI
",ابن كثير,4.59,61,492,Religion,Hardcover,English
"
Freshwater
",Akwaeke Emezi,4.03,"19,239",240,Fiction,Paperback,English
"
The Bone Houses
",Emily Lloyd-Jones,4.02,"12,678",352,Fantasy,Hardcover,English
"
Bluebird: Women and the New Psychology of Happiness
",Ariel Gore,3.73,598,196,Nonfiction,Hardcover,English
"
Merivel: A Man of His Time
",Rose Tremain,3.96,"2,009",341,Historical,Hardcover,English
"
They Fight Like Soldiers, They Die Like Children: The Global Quest to Eradicate the Use of Child Soldiers
",Roméo Dallaire,4.02,"1,203",320,Nonfiction,Hardcover,English
"
The Memoir Project: A Thoroughly Non-Standardized Text for Writing  Life
",Marion Roach Smith,4.3,"1,169",320,Nonfiction,Hardcover,English
"
Rise of the Corpses (The Undertakers, #1)
",Ty Drago,3.99,464,480,Horror,Hardcover,English
"
Tilt
",Ellen Hopkins,4.2,"15,509",608,Young Adult,Hardcover,English
"
Captive: My Time as a Prisoner of the Taliban
",Jere Van Dyk,3.37,328,608,Young Adult,Hardcover,English
"
WWW: Wonder (WWW, #3)
",Robert J. Sawyer,3.98,"4,030",354,Science Fiction,Kindle Edition,English
"
Independent Study (The Testing, #2)
",Joelle Charbonneau,3.97,"35,292",310,Science Fiction,Hardcover,English
"
Leaving Alexandria: A Memoir of Faith and Doubt
",Richard Holloway,4.09,422,358,Nonfiction,Hardcover,English
"
Fairytales for Wilde Girls
",Allyse Near,4.17,"1,032",432,Fantasy,Paperback,English
"
The Art Forger
",Barbara A. Shapiro,3.73,"81,048",355,Fiction,Hardcover,English
"
Du och jag och vi
",Pia Hagmar,3.5,40,300,European Literature,Hardcover,Swedish
"
Doctor Who: The Ring of Steel
",Stephen Cole,3.33,368,2,Media Tie In,Audio CD,English
"
Theodore and Woodrow: How Two American Presidents Destroyed Constitutional Freedom
",Andrew P. Napolitano,4,451,320,History,Hardcover,English
"
Mark of the Thief (Mark of the Thief, #1)
",Jennifer A. Nielsen,3.95,"10,332",352,Fantasy,Hardcover,English
"
A Highlander's Homecoming (Daughters of the Glen, #6)
",Melissa Mayhue,4.19,"1,380",384,Science Fiction,Paperback,English
"
The Companions (The Sundering, #1; Legend of Drizzt, #24)
",R.A. Salvatore,4.35,"7,540",378,Fantasy,Hardcover,English
"
Godin, held
",Gustaaf Peek,2.77,632,274,Roman,Paperback,Dutch
"
Chimera (The Korsak Brothers #1)
",Rob Thurman,3.81,"1,989",337,Fantasy,Paperback,English
"
Le commissaire Bordelli
",Marco Vichi,3.39,"1,645",233,Mystery,Paperback,French
"
Never Cry Werewolf (Crimson Moon, #5)
",L.A. Banks,4.21,834,336,Fantasy,Paperback,English
"
Princes at War: The Bitter Battle Inside Britain's Royal Family in the Darkest Days of WWII
",Deborah Cadbury,4.08,"1,307",336,Fantasy,Paperback,English
"
Something About You (FBI/US Attorney, #1)
",Julie James,3.95,"58,906",307,Romance,Mass Market Paperback,English
"
A Gentleman Undone (Blackshear Family, #2)
",Cecilia Grant,3.88,"2,203",350,Romance,Kindle Edition,English
"
In Search of the Lost Heart: Explorations in Islamic Thought
",William C. Chittick,3.91,11,411,Religion,Hardcover,English
"
Set in Stone (The Petralist, #1)
",Frank Morin,4,362,411,Religion,Hardcover,English
"
The Memory Painter
",Gwendolyn Womack,3.87,"3,595",332,Fiction,Hardcover,English
"
Trail of Broken Wings
",Sejal Badani,4.02,"44,956",377,Fiction,Kindle Edition,English
"
ქალაქი და წმინდანები
",Tsotne Tskhvediani,4.57,127,377,Fiction,Kindle Edition,English
"
The Throne of Glass Coloring Book
",Sarah J. Maas,4.68,"2,279",377,Fiction,Kindle Edition,English
"
A King's Ransom (Plantagenets #5; Richard the Lionheart #2)
",Sharon Kay Penman,4.34,"3,157",377,Fiction,Kindle Edition,English
"
7 Years
",Ashley Capes,4.67,3,24,Poetry,Paperback,English
"
A Companion to Marx's Capital, Volume 2
",David Harvey,4.29,123,384,Economics,Paperback,English
"
Sticks & Stones (Cut & Run, #2)
",Abigail Roux,4.38,"13,275",322,Romance,ebook,English
"
The Widow (Kate Waters, #1)
",Fiona Barton,3.52,"98,775",324,Mystery,Hardcover,English
"
A Strangeness in My Mind
",Orhan Pamuk,4.13,"12,320",624,Fiction,Hardcover,English
"
The Translation of Love
",Lynne Kutsukake,3.69,"1,532",315,Historical,Hardcover,English
"
Edwin: High King of Britain (The Northumbrian Thrones #1)
",Edoardo Albert,3.94,318,354,Historical,Kindle Edition,English
"
Underground Airlines
",Ben H. Winters,3.82,"23,547",336,Fiction,Hardcover,English
"
Searching for Beautiful (Searching For, #3)
",Jennifer Probst,4.17,"4,899",384,Romance,Kindle Edition,English
"
Olmec Obituary (Dr Pimms, Intermillennial Sleuth, #1)
",L.J.M. Owen,3.56,325,288,Mystery,Paperback,English
"
Beyond Magenta: Transgender Teens Speak Out
",Susan Kuklin,3.82,"3,959",182,Nonfiction,Hardcover,English
"
Dark Crime (Dark, #23.5)
",Christine Feehan,4.34,"3,177",172,Fantasy,Kindle Edition,English
"
Time's Edge (The Chronos Files #2)
",Rysa Walker,4.07,"11,327",450,Science Fiction,Paperback,English
"
Revelations (Ruin, #2)
",Lucian Bane,4.35,378,134,Fantasy,Kindle Edition,English
"
Crescent Dawn (Dirk Pitt, #21)
",Clive Cussler,3.99,"10,867",548,Adventure,Hardcover,English
"
Someone Else's Summer
",Rachel Bateman,3.87,"1,483",320,Young Adult,ebook,English
"
The Good Lord Bird
",James   McBride,3.88,"26,839",417,Historical,Hardcover,English
"
The Once and Future World: Nature As It Was, As It Is, As It Could Be
",J.B. MacKinnon,4.3,804,272,Nonfiction,Hardcover,English
"
Himself
",Jess Kidd,3.92,"10,053",384,Fiction,Kindle Edition,English
"
Lies & Omens (Shadows Inquiries, #4)
",Lyn Benedict,3.88,190,310,Fantasy,Mass Market Paperback,English
"
The Hit (Will Robie, #2)
",David Baldacci,4.11,"60,985",392,Thriller,Hardcover,English
"
The Terrible Two (The Terrible Two, #1)
",Mac Barnett,4.12,"9,447",218,Humor,Hardcover,English
"
A History of Ancient Egypt: From the First Farmers to the Great Pyramid
",John Romer,4.03,387,512,History,ebook,
"
Joseph Anton: A Memoir
",Salman Rushdie,3.6,"8,215",636,Nonfiction,Hardcover,English
"
True Confessions
",rory macbeth,5,2,16,Nonfiction,Kindle Edition,English
"
Українська хартія вільної людини
",Ініціативна група «Першого грудня»,4,1,16,Nonfiction,ebook,Ukrainian
"
40 Sonnets
",Don Paterson,3.7,265,16,Nonfiction,ebook,Ukrainian
"
Mad About the Boy (Bridget Jones, #3)
",Helen Fielding,3.36,"48,128",336,Womens Fiction,Hardcover,English
"
Void Star
",Zachary Mason,3.69,"2,022",385,Science Fiction,Hardcover,English
"
A Storm of Witchcraft: The Salem Trials and the American Experience
",Emerson W. Baker,3.86,690,416,History,Hardcover,English
"
Inferno (Blood for Blood, #2)
",Catherine Doyle,4.46,"3,267",416,History,Hardcover,English
"
The Last Guardian (Artemis Fowl #8)
",Eoin Colfer,4.16,"53,474",328,Fantasy,Hardcover,English
"
7 Minutes
",Tatum Wilde,4.4,5,29,Fantasy,ebook,English
"
Parting Ways: Jewishness and the Critique of Zionism
",Judith Butler,4.04,110,256,Philosophy,Hardcover,English
"
War and Turpentine
",Stefan Hertmans,3.91,"8,947",304,Fiction,Paperback,English
"
The Lightkeepers
",Abby Geni,3.85,"4,810",358,Fiction,Paperback,English
"
The Idiot
",Elif Batuman,3.64,"32,044",423,Fiction,Hardcover,English
"
Savage Harvest: A Tale of Cannibals, Colonialism, and Michael Rockefeller's Tragic Quest for Primitive Art
",Carl Hoffman,3.64,"4,739",322,Nonfiction,Hardcover,English
"
Enemies at Home (Flavia Albia Mystery, #2)
",Lindsey Davis,4.08,"1,942",352,Mystery,Hardcover,English
"
The Horologicon: A Day's Jaunt Through the Lost Words of the English Language
",Mark Forsyth,3.96,"2,065",277,Fiction,Hardcover,English
"
Descender, Vol. 2: Machine Moon
",Jeff Lemire,4.17,"7,813",106,Sequential Art,ebook,English
"
Lyrics Alley
",Leila Aboulela,3.75,"1,315",310,Fiction,Hardcover,English
"
Doctor Who - The Wheel of Ice
",Stephen Baxter,3.67,"1,794",310,Fiction,Hardcover,English
"
Oppdateringer
",Pål Norheim,3.71,17,114,Nonfiction,Hardcover,"Bokmål, Norwegian; Norwegian Bokmål"
"
The Bookseller's Tale (Oxford Medieval Mysteries, #1)
",Ann Swinfen,4.13,"2,426",114,Nonfiction,Hardcover,"Bokmål, Norwegian; Norwegian Bokmål"
"
Смяна на огледалата
",Аксиния Михайлова,4.46,52,76,Poetry,Hardcover,Bulgarian
"
Shades of Earth (Across the Universe, #3)
",Beth Revis,4.08,"33,477",369,Young Adult,Hardcover,English
"
Geronimo
",Leon de Winter,3.55,424,362,Fiction,Hardcover,Dutch
"
Frankissstein: A Love Story
",Jeanette Winterson,3.62,"9,410",352,Fiction,Hardcover,English
"
Where The Poppies Now Grow
",Hilary Robinson,4.58,120,36,War,Paperback,English
"
The Ugly Truth (Diary of a Wimpy Kid, #5)
",Jeff Kinney,4.19,"112,610",217,Fiction,Hardcover,English
"
War (The Four Horsemen, #2)
",Laura Thalassa,4.13,"19,812",502,Romance,Kindle Edition,English
"
Stray (Touchstone, #1)
",Andrea K. Höst,3.99,"3,671",273,Science Fiction,Kindle Edition,English
"
The Dominator (The Dominator, #1)
",D.D. Prince,3.97,"4,439",396,Dark,Kindle Edition,English
"
Anger Is My Middle Name: A Memoir
",Lisbeth Zornig Andersen,4.12,"1,122",230,Nonfiction,Hardcover,English
"
War Doctor: Surgery on the Front Line
",David Nott,4.57,"7,407",355,Nonfiction,Hardcover,English
"
Το περιεχόμενο του υπόλοιπου
",Αλέξιος Μάινας,4.67,3,355,Nonfiction,Hardcover,"Greek, Modern (1453-)"
"
The Racehorse Who Wouldn't Gallop
",Clare Balding,4.25,277,355,Nonfiction,Hardcover,"Greek, Modern (1453-)"
"
Scientific Wonders on Earth & in Space
",Yusuf Al-Hajj Ahmad,4.4,86,288,Nonfiction,Kindle Edition,English
"
The Paper Menagerie and Other Stories
",Ken Liu,4.38,"20,765",450,Short Stories,Paperback,English
"
Rowdy: The Roddy Piper Story
",Ariel Teal Toombs,4.25,343,396,Biography,Hardcover,English
"
The Gunners
",Rebecca Kauffman,3.67,"5,626",396,Fiction,Audiobook,English
"
Matilda: Empress, Queen, Warrior
",Catherine Hanley,4.22,291,296,History,Hardcover,English
"
The Burning Page (The Invisible Library, #3)
",Genevieve Cogman,4.05,"14,463",358,Fantasy,Paperback,English
"
Of Blood and Bone (Chronicles of The One, #2)
",Nora Roberts,4.28,"33,384",453,Fantasy,Hardcover,English
"
Den vita frun
",Frida Skybäck,3.12,72,301,Historical,Hardcover,Swedish
"
Doors of Stone (The Kingkiller Chronicle, #3)
",Patrick Rothfuss,3.65,"3,987",301,Fantasy,Audio CD,English
"
A Tiny Bit Marvellous
",Dawn French,3.24,"9,536",352,Fiction,Hardcover,English
"
Lola and the Boy Next Door (Anna and the French Kiss, #2)
",Stephanie Perkins,3.93,"157,528",338,Young Adult,Hardcover,English
"
The Murder of the Century: The Gilded Age Crime that Scandalized a City and Sparked the Tabloid Wars
",Paul  Collins,3.58,"7,830",338,Young Adult,Hardcover,English
"
A Stranger in Mayfair
",Charles Finch,3.98,"5,390",320,Mystery,ebook,Italian
"
Married to Bhutan
",Linda Leaming,3.81,"1,305",264,Travel,Paperback,English
"
Joachim Gauck - Vom Pastor zum Präsidenten. Die Biografie
",Norbert Robers,3,2,264,Travel,Hardcover,German
"
The Hellhound of Wall Street: How Ferdinand Pecora's Investigation of the Great Crash Forever Changed American Finance
",Michael Perino,4.2,214,352,History,Hardcover,English
"
The Dead of Night (The 39 Clues: Cahills vs. Vespers, #3)
",Peter Lerangis,4.16,"18,169",192,Adventure,Hardcover,English
"
False Covenant (Widdershins Adventures, #2)
",Ari Marmell,4.08,"1,278",281,Fantasy,Hardcover,English
"
All Spell Breaks Loose (Raine Benares, #6)
",Lisa Shearin,4.15,"2,387",292,Fantasy,Mass Market Paperback,English
"
A Stolen Life
",Jaycee Dugard,3.89,"105,603",273,Nonfiction,Hardcover,English
"
Soft Apocalypse
",Will McIntosh,3.5,"2,503",256,Science Fiction,Paperback,English
"
Tell-All
",Chuck Palahniuk,2.87,"12,994",192,Fiction,Hardcover,English
"
The Sallee Rovers (Pirates of the Narrow Seas, #1)
",M. Kei,3.71,224,282,Romance,Paperback,English
"
The Way of the Righteous in the Muck of Life: Psalms 1–12
",Dale Ralph Davis,4.29,167,144,Religion,Paperback,English
"
Of Windmills and War (The War Trilogy #1)
",Diane Moody,4.3,"7,771",598,Historical,Kindle Edition,English
"
Temple of a Thousand Faces
",John Shors,3.82,"1,301",544,Historical,Paperback,English
"
Kriget är slut
",Morgan Alling,4.02,307,329,Biography,Paperback,Swedish
"
Open Very Carefully: A Book with Bite
",Nick Bromley,4.01,"2,006",32,Childrens,Hardcover,English
"
The Dressmaker of Khair Khana: Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe
",Gayle Tzemach Lemmon,3.72,"15,181",258,Nonfiction,Hardcover,English
"
Lost & Found
",Brooke Davis,3.42,"10,647",272,Fiction,Paperback,English
"
R.A. Salvatore's War of the Spider Queen, Volume I: Dissolution, Insurrection, Condemnation
",Richard Lee Byers,4.46,353,1088,Fantasy,Paperback,English
"
A Good Man
",Guy Vanderhaeghe,3.96,"1,046",480,Historical,Paperback,English
"
The Grimrose Path (Trickster, #2)
",Rob Thurman,3.99,"1,763",352,Fantasy,Paperback,English
"
La boîte à musique
",Mary Higgins Clark,3.63,"10,814",352,Fantasy,Paperback,English
"
The Death of Bees
",Lisa O'Donnell,3.83,"15,720",312,Fiction,Hardcover,English
"
Shadow Blade (Shadowchasers, #1)
",Seressia Glass,3.55,"1,277",344,Fantasy,Mass Market Paperback,English
"
The Sweetest Thing (Lucky Harbor, #2)
",Jill Shalvis,4.1,"19,382",374,Romance,Kindle Edition,English
"
The Strange and Beautiful Sorrows of Ava Lavender
",Leslye Walton,4.02,"40,662",301,Fantasy,Hardcover,English
"
American Qur'an
",Sandow Birk,3.8,25,464,Religion,Hardcover,English
"
Memory Hunter (The Facetakers, #1)
",Frank Morin,4.19,21,378,Fantasy,Paperback,English
"
Holding Their Own (Holding Their Own, #1)
",Joe Nobody,3.97,985,332,Fiction,Paperback,English
"
The Banks of Certain Rivers
",Jon Harrison,3.75,"1,509",366,Fiction,Paperback,English
"
Proxima
",Stephen Baxter,3.81,"5,987",464,Science Fiction,Kindle Edition,English
"
Anna and the Swallow Man
",Gavriel Savit,3.66,"7,623",240,Historical,Kindle Edition,English
"
Beraubte Wut
",Arion Golmakani,5,3,380,Historical,Paperback,German
"
Unspoken (The Lynburn Legacy, #1)
",Sarah Rees Brennan,3.8,"35,787",370,Fantasy,Hardcover,English
"
The Final Trade (The Dominion Trilogy, #2)
",Joe Hart,4.22,"6,280",352,Science Fiction,Kindle Edition,English
"
Terugkeer ongewenst
",Charles Lewinsky,4.06,630,448,Fiction,Hardcover,Dutch
"
Happiness, Like Water
",Chinelo Okparanta,4.03,"1,455",196,Short Stories,Paperback,English
"
The Room
",Jonas Karlsson,3.57,"4,705",190,Fiction,Paperback,English
"
The Haunting
",Alan Titchmarsh,3.84,"1,013",338,Fiction,Hardcover,English
"
The Last Dragonslayer (The Last Dragonslayer, #1)
",Jasper Fforde,3.85,"21,021",296,Fantasy,Hardcover,English
"
The Book with No Pictures
",B.J. Novak,4.28,"26,010",48,Childrens,Hardcover,English
"
This Girl (Slammed, #3)
",Colleen Hoover,4.11,"75,286",304,Romance,Kindle Edition,English
"
My Life with the Liars
",Caela Carter,4.08,960,288,Childrens,Hardcover,English
"
Rocky Mountain Miracle
",Christine Feehan,4.32,"1,500",240,Romance,Kindle Edition,English
"
Ties That Bind (Madison Knight, #1)
",Carolyn Arnold,3.79,"4,693",240,Romance,Kindle Edition,English
"
The Judgement (Ruin, #3)
",Lucian Bane,4.3,264,106,Fantasy,Kindle Edition,English
"
Avatar: The Last Airbender - The Rift (Avatar: The Last Airbender, #3)
",Gene Luen Yang,4.29,"6,631",106,Fantasy,Kindle Edition,English
"
The Girl in Green
",Derek B. Miller,4.08,"2,394",336,Fiction,Hardcover,English
"
The Sworn (Fallen Kings Cycle, #1 / Les Rois déchus)
",Gail Z. Martin,4.06,"2,859",563,Fantasy,Paperback,English
"
Conversations with Scorsese
",Richard Schickel,4.18,528,448,Culture,Paperback,English
"
Fullmetal Alchemist, Vol. 25 (Fullmetal Alchemist, #25)
",Hiromu Arakawa,4.66,"6,132",192,Sequential Art,Paperback,English
"
The Last Spell (The Thickety, #4)
",J.A.    White,4.4,847,512,Fantasy,Hardcover,English
"
Time's Anvil: England, Archaeology and the Imagination
",Richard Morris,4.04,54,480,History,Kindle Edition,English
"
Claire, After All (The Penwarrens #1)
",Karen J. Hasley,4.29,125,174,Historical,Kindle Edition,English
"
Decisive: How to Make Better Choices in Life and Work
",Chip Heath,3.94,"15,566",174,Business,Audio CD,English
"
The Dark Tower: Battle of Jericho Hill
",Robin Furth,4.31,"5,053",144,Sequential Art,Hardcover,English
"
The Devil is a Part-Timer Light Novel, Vol. 1 (The Devil is a Part-Timer Light Novel, #1)
",Satoshi Wagahara,4.25,"1,232",240,Novels,Paperback,English
"
Politics
",rory macbeth,5,2,47,Novels,Kindle Edition,English
"
Не минаючи ані титли... Лінгвобіографія старослов'янської мови
",Любомир Белей,4.8,5,256,Novels,Paperback,Ukrainian
"
Beneath the Night Tree (Threads of Change #3)
",Nicole Baart,4.08,745,400,Christian Fiction,Paperback,English
"
History of Wolves
",Emily Fridlund,3.41,"25,383",288,Fiction,Hardcover,English
"
Goodbye, Vitamin
",Rachel Khong,3.72,"21,000",208,Fiction,Paperback,English
"
Love Song
",Sophia Bennett,4.11,"1,060",384,Young Adult,Paperback,English
"
Is Critique Secular?: Blasphemy, Injury, and Free Speech
",Talal Asad,3.94,142,154,Philosophy,Paperback,English
"
The Three Lives of James Madison: Genius, Partisan, President
",Noah Feldman,4.15,615,816,Biography,Hardcover,English
"
Grandma Gatewood's Walk: The Inspiring Story of the Woman Who Saved the Appalachian Trail
",Ben Montgomery,4,"17,294",288,Nonfiction,Hardcover,English
"
The Girl with Seven Names: A North Korean Defector’s Story
",Hyeonseo Lee,4.35,"70,811",304,Nonfiction,Hardcover,English
"
Prophecy (Giordano Bruno, #2)
",S.J. Parris,3.95,"8,415",375,Historical,Hardcover,English
"
The Sun and Her Flowers
",Rupi Kaur,4.13,"198,505",256,Poetry,Paperback,English
"
Beneath the Lion's Gaze
",Maaza Mengiste,3.93,"2,762",308,Cultural,Hardcover,English
"
Amatka
",Karin Tidbeck,3.79,"2,905",216,Science Fiction,Paperback,English
"
De urolige
",Linn Ullmann,3.96,"3,024",216,Science Fiction,Paperback,English
"
Infinite City: A San Francisco Atlas
",Rebecca Solnit,4.24,"1,153",216,Science Fiction,Paperback,English
"
стихотворения
",Albena Todorova,4.51,85,60,Poetry,Paperback,Bulgarian
"
Starflight (Starflight, #1)
",Melissa Landers,3.86,"12,130",362,Science Fiction,Hardcover,English
"
Queen of the Falls
",Chris Van Allsburg,3.9,"4,346",38,Childrens,Hardcover,English
"
Bloodtree River
",Sarah Barrie,4.18,749,352,Romance,ebook,English
"
Spring (Seasonal, #3)
",Ali Smith,4.17,"8,643",336,Fiction,Paperback,English
"
Here Be Sexist Vampires (Deep In Your Veins, #1)
",Suzanne Wright,4.04,"24,341",279,Fantasy,Kindle Edition,English
"
The Reader on the 6.27
",Jean-Paul Didierlaurent,3.73,"12,232",204,Fiction,ebook,English
"
I Know What Love Is (I Know..., #1)
",Whitney Bianca,3.8,"2,887",216,Dark,Kindle Edition,English
"
The Runaway (Valkyrie, #2)
",Kate O'Hearn,4.43,962,360,Fantasy,Paperback,English
"
Saga, Vol. 9
",Brian K. Vaughan,4.57,"24,316",160,Sequential Art,Kindle Edition,English
"
Heavy
",Kiese Laymon,4.45,"29,972",241,Autobiography,Hardcover,English
"
Race the Wind (The One Dollar Horse, #2)
",Lauren St. John,4.26,"1,156",216,Animals,Hardcover,English
"
A Song for Quiet (Persons Non Grata #2)
",Cassandra Khaw,3.89,761,112,Horror,Kindle Edition,English
"
Running with Sherman
",Christopher McDougall,4.28,"6,522",334,Nonfiction,Hardcover,English
"
Secret (Elemental, #4)
",Brigid Kemmerer,4.18,"5,831",328,Young Adult,Paperback,English
"
Rizq And Lawful Earnings
",Darussalam,4.29,92,75,Religion,Kindle Edition,English
"
Confessions of a Sociopath: A Life Spent Hiding in Plain Sight
",M.E. Thomas,3.21,"13,313",320,Nonfiction,Hardcover,English
"
The Lost Plot (The Invisible Library, #4)
",Genevieve Cogman,4.17,"11,393",376,Fantasy,ebook,English
"
Kaffe med rån
",Catharina Ingelman-Sundberg,3.25,"14,613",376,Fiction,ebook,Swedish
"
Cupid's Maze
",Mark Souza,4.27,22,376,Horror,ebook,English
"
The Cleanest Race: How North Koreans See Themselves and Why It Matters
",B.R. Myers,3.91,"1,924",208,Nonfiction,Hardcover,English
"
Ghosted
",Shaughnessy Bishop-Stall,3.71,181,400,Fiction,Hardcover,English
